91,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE SYLACAUGA AL 35150,2562490961,91,No Comment
92,CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET CENTRE AL 35960,2569275838,92,No Comment
93,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW CHILDERSBURG AL 35044,2563787239,93,No Comment
94,LINCOLN PUBLIC LIBRARY,47475 US HWY 78 LINCOLN AL 35096,2057634080,94,No Comment
95,LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49 LINEVILLE AL 36266,2563965162,95,No Comment
96,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,541 ROSS STREET HEFLIN AL 36264,2564632259,96,No Comment
97,OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET OXFORD AL 36203,2568311750,97,No Comment
98,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,202 SOUTH STREET EAST TALLADEGA AL 35160,2563624211,98,No Comment
99,ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET ABBEVILLE AL 36310,3345852818,99,No Comment
100,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET HEADLAND AL 36345,3346932706,100,No Comment
101,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET BRUNDIDGE AL 36010,3347352145,101,No Comment
102,OZARK - DALE COUNTY PUBLIC LIBRARY,416 JAMES STREET OZARK AL 36360,3347745480,102,No Comment
103,CLIO - ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET CLIO AL 36017,3347334858,103,No Comment
104,LOUISVILLE PUBLIC LIBRARY,1951 MAIN STREET LOUISVILLE AL 36048,3342665210,104,No Comment
105,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,1318 HINTON WATERS AVENUE MIDLAND CITY AL 36350,3349839999,105,No Comment
106,NEWTON PUBLIC LIBRARY,209 OATES DRIVE NEWTON AL 36352,3349469700,106,No Comment
107,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,45 NORTH MIDWAY STREET CLAYTON AL 36016,3347753506,107,No Comment
108,TROY PUBLIC LIBRARY,500 EAST WALNUT STREET TROY AL 36079,3345661314,108,No Comment
109,UNION SPRINGS PUBLIC LIBRARY,103 NORTH PRAIRIE STREET UNION SPRINGS AL 36089,3347382760,109,No Comment
110,ANDALUSIA PUBLIC LIBRARY,212 SOUTH THREE NOTCH STREET ANDALUSIA AL 36420,3342226612,110,No Comment
111,BRANTLEY PUBLIC LIBRARY,10 MLK DRIVE BRANTLEY AL 36009,3345278624,111,No Comment
112,ELBA PUBLIC LIBRARY,406 SIMMONS STREET ELBA AL 36323,3348976921,112,No Comment
113,GENEVA - EMMA KNOX KENAN LIBRARY,312 SOUTH COMMERCE STREET GENEVA AL 36340,3346842459,113,No Comment
114,ENTERPRISE PUBLIC LIBRARY,101 EAST GRUBBS STREET ENTERPRISE AL 36330,3343472636,114,No Comment
115,FLORALA PUBLIC LIBRARY,1214 FOURTH STREET FLORALA AL 36442,3348583525,115,No Comment
116,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,101 EAST FULTON STREET HARTFORD AL 36344,3345882384,116,No Comment
117,LUVERNE PUBLIC LIBRARY,148 EAST THIRD STREET LUVERNE AL 36049,3343355326,117,No Comment
118,OPP PUBLIC LIBRARY,1604 NORTH MAIN STREET OPP AL 36467,3344936423,118,No Comment
119,SAMSON PUBLIC LIBRARY,200 NORTH JOHNSON STREET SAMSON AL 36477,3348987806,119,No Comment
120,SLOCOMB PUBLIC LIBRARY,134 SOUTH DALTON AVENUE SLOCOMB AL 36375,3348869009,120,No Comment
121,HORSESHOE BEND REGIONAL LIBRARY,207 NORTH WEST STREET DADEVILLE AL 36853,2568259232,121,No Comment
122,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,318 CHURCH STREET ALEXANDER CITY AL 35010,2563296796,122,No Comment
123,DADEVILLE PUBLIC LIBRARY,205 NORTH WEST STREET DADEVILLE AL 36853,2568257820,123,No Comment
124,GOODWATER PUBLIC LIBRARY,62 COOSA COUNTY ROAD 66 GOODWATER AL 35072,2568395741,124,No Comment
125,AUBURN PUBLIC LIBRARY,749 EAST THACH AVENUE AUBURN AL 36830,3345013190,125,No Comment
126,OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY,200 SOUTH 6TH STREET OPELIKA AL 36801,3347055380,126,No Comment
127,MILLBROOK PUBLIC LIBRARY,3650 GRANDVIEW ROAD MILLBROOK AL 36054,3342856688,127,No Comment
128,ROCKFORD PUBLIC LIBRARY,9688 US HWY 231 ROCKFORD AL 35136,2563774911,128,No Comment
129,TALLASSEE COMMUNITY PUBLIC LIBRARY,99 FREEMAN AVENUE TALLASSEE AL 36078,3342832732,129,No Comment
130,WETUMPKA PUBLIC LIBRARY,212 SOUTH MAIN STREET WETUMPKA AL 36092,3345671308,130,No Comment
131,FLORENCE - LAUDERDALE PUBLIC LIBRARY,350 NORTH WOOD AVENUE FLORENCE AL 35630,2567646564,131,No Comment
132,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,511 NORTH MAIN STREET TUSCUMBIA AL 35674,2563837065,132,No Comment
133,LEIGHTON PUBLIC LIBRARY,8740 MAIN STREET LEIGHTON AL 35646,2564465380,133,No Comment
134,MUSCLE SHOALS PUBLIC LIBRARY,1918 EAST AVALON AVENUE MUSCLE SHOALS AL 35661,2563869212,134,No Comment
135,ROGERSVILLE PUBLIC LIBRARY,74 BANK STREET ROGERSVILLE AL 35652,2562470151,135,No Comment
136,SHEFFIELD PUBLIC LIBRARY,316 NORTH MONTGOMERY AVENUE SHEFFIELD AL 35660,2563865633,136,No Comment
137,NORTHWEST REGIONAL LIBRARY,185 ASHWOOD DRIVE WINFIELD AL 35594,2054872330,137,No Comment
138,HAMILTON - CLYDE NIX PUBLIC LIBRARY,350 BEXAR AVENUE WEST HAMILTON AL 35570,2059214290,138,No Comment
139,KENNEDY PUBLIC LIBRARY,17885 HIGHWAY 96 KENNEDY AL 35574,2055963670,139,No Comment
140,GUIN - MCHS COMMUNITY LIBRARY,8115 U.S. HIGHWAY 43 GUIN AL 35563,2054682544,140,No Comment
141,MILLPORT PUBLIC LIBRARY,920 BLACK STREET MILLPORT AL 35576,2056624286,141,No Comment
142,RUSSELLVILLE PUBLIC LIBRARY,110 EAST LAWRENCE STREET RUSSELLVILLE AL 35653,2563321535,142,No Comment
143,SULLIGENT PUBLIC LIBRARY,514 ELM STREET SULLIGENT AL 35586,2056988631,143,No Comment
144,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,110 FIRST AVENUE WEST VERNON AL 35592,2056956123,144,No Comment
145,RED BAY - WEATHERFORD PUBLIC LIBRARY,307 4TH AVENUE SOUTH RED BAY AL 35582,2053569255,145,No Comment
146,WINFIELD PUBLIC LIBRARY,185 ASHWOOD DRIVE WINFIELD AL 35594,2054872484,146,No Comment
147,ATHENS - LIMESTONE PUBLIC LIBRARY,603 JEFFERSON STREET ATHENS AL 35611,2562321233,147,No Comment
148,DECATUR PUBLIC LIBRARY,504 CHERRY STREET NE DECATUR AL 35601,2563532993,148,No Comment
149,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,152 SPARKMAN STREET NW HARTSELLE AL 35640,2567739880,149,No Comment
150,LAWRENCE COUNTY PUBLIC LIBRARY,401 COLLEGE STREET MOULTON AL 35650,2569740883,150,No Comment
151,BALDWIN COUNTY LIBRARY COOPERATIVE,22251 PALMER STREET ROBERTSDALE AL 36567,2519704010,151,No Comment
152,DAPHNE PUBLIC LIBRARY,2607 U.S. HIGHWAY 98 DAPHNE AL 36526,2516202500,152,No Comment
153,FAIRHOPE PUBLIC LIBRARY,501 FAIRHOPE AVENUE FAIRHOPE AL 36532,2519287483,153,No Comment
154,FOLEY PUBLIC LIBRARY,319 EAST LAUREL AVENUE FOLEY AL 36535,2519437665,154,No Comment
155,BAY MINETTE PUBLIC LIBRARY,205 WEST SECOND STREET BAY MINETTE AL 36507,2515801648,155,No Comment
156,LOXLEY PUBLIC LIBRARY,1001 EAST LOXLEY AVENUE LOXLEY AL 36551,2519645695,156,No Comment
157,OSCAR JOHNSON MEMORIAL LIBRARY,21967 SIXTH STREET SILVERHILL AL 36576,2519455201,157,No Comment
158,ROBERTSDALE PUBLIC LIBRARY,18301 PENNSYLVANIA STREET ROBERTSDALE AL 36567,2519478960,158,No Comment
159,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,221 WEST 19TH AVENUE GULF SHORES AL 36542,2519681176,159,No Comment
160,ADAMSVILLE PUBLIC LIBRARY,4825 MAIN STREET ADAMSVILLE AL 35005,2056743399,160,No Comment
161,BESSEMER PUBLIC LIBRARY,400 19TH STREET N BESSEMER AL 35020,2054287882,161,No Comment
162,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,50 OAK STREET MOUNTAIN BROOK AL 35213,2058790459,162,No Comment
163,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,4615 GARY AVENUE FAIRFIELD AL 35064,2057836007,163,No Comment
164,FULTONDALE PUBLIC LIBRARY,500 BYRD LANE FULTONDALE AL 35068,2058496335,164,No Comment
165,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,995 MT. OLIVE ROAD GARDENDALE AL 35071,2056316639,165,No Comment
166,GRAYSVILLE PUBLIC LIBRARY,315 SOUTH MAIN STREET GRAYSVILLE AL 35073,2056743040,166,No Comment
167,HOMEWOOD PUBLIC LIBRARY,1721 OXMOOR ROAD HOMEWOOD AL 35209,2053326600,167,No Comment
168,HOOVER PUBLIC LIBRARY,200 MUNICIPAL DRIVE HOOVER AL 35216,2054447800,168,No Comment
169,HUEYTOWN PUBLIC LIBRARY,1372 HUEYTOWN ROAD HUEYTOWN AL 35023,2054911443,169,No Comment
170,IRONDALE PUBLIC LIBRARY,105 20TH STREET SOUTH IRONDALE AL 35210,2059511415,170,No Comment
171,LEEDS - JANE CULBRETH LIBRARY,8104 PARKWAY DRIVE LEEDS AL 35094,2056995962,171,No Comment
172,MIDFIELD PUBLIC LIBRARY,400 BRELAND DRIVE MIDFIELD AL 35228,2059231027,172,No Comment
173,PLEASANT GROVE PUBLIC LIBRARY,501 PARK ROAD PLEASANT GROVE AL 35127,2057441742,173,No Comment
174,TARRANT PUBLIC LIBRARY,1143 FORD AVENUE TARRANT AL 35217,2058410575,174,No Comment
175,TRUSSVILLE PUBLIC LIBRARY,201 PARKWAY DRIVE TRUSSVILLE AL 35173,2056552022,175,No Comment
176,VESTAVIA HILLS LIBRARY IN THE FOREST,1221 MONTGOMERY HIGHWAY VESTAVIA HILLS AL 35216,2059780155,176,No Comment
177,WARRIOR PUBLIC LIBRARY,101 FIRST STREET WARRIOR AL 35180,2056473006,177,No Comment
178,BIRMINGHAM PUBLIC LIBRARY,2100 PARK PLACE BIRMINGHAM AL 35203,2052263610,178,No Comment
179,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,504 GRAND AVENUE NW FORT PAYNE AL 35967,2568452671,179,No Comment
180,COLLINSVILLE PUBLIC LIBRARY,151 MAIN STREET COLLINSVILLE AL 35961,2565242323,180,No Comment
181,GERALDINE PUBLIC LIBRARY,13543 ALABAMA HIGHWAY 227 GERALDINE AL 35974,2566596663,181,No Comment
182,RAINSVILLE PUBLIC LIBRARY,941 EAST MAIN STREET RAINSVILLE AL 35986,2566383311,182,No Comment
183,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,700 EAST CHURCH STREET ATMORE AL 36502,2513684130,183,No Comment
184,ATMORE PUBLIC,700 E. CHURCH STREET ATMORE AL 36502,2513685234,184,No Comment
185,BREWTON PUBLIC LIBRARY,206 WEST JACKSON STREET BREWTON AL 36426,2518674626,185,No Comment
186,FLOMATON PUBLIC LIBRARY,436 DR VAN AVENUE FLOMATON AL 36441,2512963552,186,No Comment
187,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,254 COLLEGE STREET GADSDEN AL 35901,2565494699,187,No Comment
188,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,604 NORTH 4TH STREET ATTALLA AL 35954,2565389266,188,No Comment
189,RAINBOW CITY PUBLIC LIBRARY,3702 RAINBOW DRIVE RAINBOW CITY AL 35906,2564428477,189,No Comment
190,DEMOPOLIS PUBLIC LIBRARY,211 E. WASHINGTON STREET DEMOPOLIS AL 36732,3342891595,190,No Comment
191,MARENGO COUNTY PUBLIC LIBRARY,210 NORTH SHILOH STREET LINDEN AL 36748,3342952246,191,No Comment
192,MARSHALL COUNTY COOPERATIVE LIBRARY,19348 HIGHWAY 431 NORTH GUNTERSVILLE AL 35976,2568788523,192,No Comment
193,ARAB PUBLIC LIBRARY,325 2ND STREET NW ARAB AL 35016,2565863366,193,No Comment
194,BOAZ PUBLIC LIBRARY,404 THOMAS AVE. BOAZ AL 35957,2565938056,194,No Comment
195,GUNTERSVILLE PUBLIC LIBRARY,1240 O`BRIG AVENUE GUNTERSVILLE AL 35976,2565717595,195,No Comment
196,ALBERTVILLE PUBLIC LIBRARY,200 JACKSON STREET ALBERTVILLE AL 35950,2568918290,196,No Comment
197,HARRISON REGIONAL LIBRARY SYSTEM,50 LESTER STREET COLUMBIANA AL 35051,2056693910,197,No Comment
198,ALABASTER - ALBERT L. SCOTT LIBRARY,100 9TH STREET N.W. ALABASTER AL 35007,2056646822,198,No Comment
199,CALERA PUBLIC LIBRARY,9700 HIGHWAY 25 CALERA AL 35040,2056687200,199,No Comment
200,COLUMBIANA PUBLIC LIBRARY,50 LESTER STREET COLUMBIANA AL 35051,2056695812,200,No Comment
201,HELENA - JANE B. HOLMES PUBLIC LIBRARY,230 TUCKER ROAD HELENA AL 35080,2056648308,201,No Comment
202,VINCENT - LALLOUISE F. MCGRAW LIBRARY,42850 HIGHWAY 25 VINCENT AL 35178,2056722749,202,No Comment
203,MONTEVALLO - PARNELL MEMORIAL LIBRARY,277 PARK DRIVE MONTEVALLO AL 35115,2056659207,203,No Comment
204,PELHAM PUBLIC LIBRARY,2000 PELHAM PARK BLVD PELHAM AL 35124,2056206418,204,No Comment
205,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,9905 NORTH MAIN STREET WILSONVILLE AL 35186,2056696180,205,No Comment
206,NORTH SHELBY LIBRARY,5521 CAHABA VALLEY ROAD BIRMINGHAM AL 35242,2054395555,206,No Comment
207,ALICEVILLE PUBLIC LIBRARY,416 THIRD AVENUE NE ALICEVILLE AL 35442,2053736691,207,No Comment
208,CARROLLTON PUBLIC LIBRARY,225 COMMERCE AVENUE CARROLLTON AL 35447,2053672142,208,No Comment
209,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,287 MAIN STREET SOUTH GORDO AL 35466,2053647148,209,No Comment
210,REFORM PUBLIC LIBRARY,302 FIRST STREET SOUTH REFORM AL 35481,2053756240,210,No Comment
211,ASHVILLE PUBLIC LIBRARY,196 SIXTH AVENUE ASHVILLE AL 35953,2055947954,211,No Comment
212,MOODY - DORIS STANLEY MEMORIAL LIBRARY,300 BOOKMARK CIRCLE MOODY AL 35004,2056402517,212,No Comment
213,ODENVILLE PUBLIC LIBRARY,200 ALABAMA STREET ODENVILLE AL 35120,2056295901,213,No Comment
214,PELL CITY PUBLIC LIBRARY,1000 BRUCE ETHEREDGE PKWY STE 100 PELL CITY AL 35128,2058841015,214,No Comment
215,YORK - HIGHTOWER MEMORIAL LIBRARY,630 AVENUE A YORK AL 36925,2053922004,215,No Comment
216,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,206 MONROE ST. LIVINGSTON AL 35470,2056522349,216,No Comment
217,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,108 EAST 10TH STREET ANNISTON AL 36201,2562378501,217,No Comment
218,JACKSONVILLE PUBLIC LIBRARY,200 PELHAM ROAD SOUTH JACKSONVILLE AL 36265,2564356332,218,No Comment
219,PIEDMONT PUBLIC LIBRARY,106 NORTH MAIN STREET PIEDMONT AL 36272,2564473369,219,No Comment
220,AKRON PUBLIC LIBRARY,207 FIRST AVENUE SOUTH AKRON AL 35441,2053723148,220,No Comment
221,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,445 NORTH OATES STREET DOTHAN AL 36303,3347939767,221,No Comment
222,BLOUNTSVILLE PUBLIC LIBRARY,65 CHESTNUT STREET BLOUNTSVILLE AL 35031,2054293156,222,No Comment
223,CHEROKEE PUBLIC LIBRARY,118 CHURCH STREET CHEROKEE AL 35616,2563594384,223,No Comment
224,BRENT - CENTREVILLE PUBLIC LIBRARY,20 LIBRARY STREET CENTREVILLE AL 35042,2059264736,224,No Comment
